incident_id,recorded_date,resolved_date,last_updated_date,status,priority,severity,process_owner,responsible_team,requestor_name,requestor_function,sprint,topic,multi_geography,geographies_affected,systems_affected,systems_list,related_issues,root_cause,type_of_solution,data_quality_associated,definition_of_done,business_impact,incident_description
INC-001,03/10/2024,,12-11-2024,Ongoing,High,Sev1,IT,"Payments IT","Ana López","Operations","Sprint-08","Payments",Y,"ES-BR",Y,"Payments Platform","",Integration,Tactical,"","Payments processed without manual intervention","High","Payments failing intermittently en producción. Merchants reporting delays desde ayer."
INC-002,2024-09-18,2024/10/20,2024/10/20,Closed,Medium,Sev2,"Ops Spain","Operations Team","Carlos M.","Business","Sprint-07","Reporting",N,"ES",N,"","INC-005","Process","Tactical","","Daily reconciliation report delivered on time","Medium","Daily report inconsistencies, numbers do not match source system."
INC-003,25-10-2024,,14/11/2024,Blocked,High,Sev1,IT,"Core Systems BR","João Silva","IT","Sprint-09","Integration",Y,"BR",Y,"Core Banking","",Unknown,Strategic,"","Root cause identified and fix deployed","High","Erro no sistema de liquidação, root cause ainda não clara."
INC-004,2024/11/02,,15-11-2024,New,Low,Sev3,Business,"Merchant Ops","Lucía Pérez","Business","Sprint-10","Ops",N,"ES",N,"","","Process","Tactical","","Manual workaround documented","Low","Merchant complaining about manual steps but no clear incident identified."
INC-005,30-09-2024,28-10-2024,28-10-2024,Closed,Medium,Sev2,"Data Platform","Data Team","Pedro Santos","IT","Sprint-08","Data",Y,"ES-BR",Y,"Data Platform","INC-002","Data","Strategic","","Data pipeline monitored and stable","Medium","Pipeline delay caused missing data in reports."
INC-006,12/10/2024,,10/11/2024,Ongoing,Medium,Sev2,Operations,"Ops Brazil","Mariana Costa","Operations","Sprint-09","Payments",Y,"BR",Y,"Payments Platform","","Process","Tactical","","Backlog reduced below threshold","Medium","Pagamento com atraso em alguns casos, ainda em análise."
INC-007,2024-11-05,,16/11/2024,Ongoing,High,Sev1,"Head of Commercial","Commercial Ops","David R.","Business","Sprint-10","Integration",Y,"ES-BR",Y,"CRM;Payments Platform","","Integration","Strategic","","End-to-end flow validated","High","Integration issue between CRM and Payments, impacto alto."
INC-008,08-10-2024,01-11-2024,01-11-2024,Closed,Low,Sev3,"Ops Spain","Ops Team","Laura G.","Operations","Sprint-08","Reporting",N,"ES",N,"","","Process","Tactical","","Monthly report aligned with source data","Low","Monthly report alignment resolved after manual fix."
INC-009,2024/09/22,,08-11-2024,Ongoing,Medium,Sev2,IT,"Core Systems ES","Andrés V.","IT","Sprint-07","Integration",N,"ES",Y,"Core Banking","","Integration","Strategic","","Incident no longer reproducible","Medium","Incident no longer reproducible but no fix deployed."
INC-010,01-11-2024,,15/11/2024,Discarded,Low,Sev3,Business,"Merchant Support BR","Fernanda Lima","Business","Sprint-10","Ops",N,"BR",N,"","","Unknown","Tactical","","Request deemed out of scope","Low","Request classified as question, not an incident."
INC-011,17/10/2024,,13-11-2024,Ongoing,High,Sev1,IT,"Payments IT","Raúl S.","Operations","Sprint-09","Payments",Y,"ES-BR",Y,"Payments Platform","INC-001","Integration","Strategic","","Latency reduced below SLA","High","Latency above SLA during peak hours, needs escalation."
INC-012,05-09-2024,15/10/2024,15/10/2024,Closed,Medium,Sev2,Operations,"Ops Brazil","Thiago N.","Operations","Sprint-06","Data",N,"BR",Y,"Data Platform","","Data","Tactical","","Data corrections validated","Medium","Data corrections applied after reconciliation."
INC-013,04-10-2024,,11/11/2024,Ongoing,High,Sev1,Operations,"Ops Spain","Marta R.","Operations","Sprint-08","Payments",Y,"ES",Y,"Payments Platform","","Unknown","Tactical","","","High","Pagos lentos en algunos comercios, no info from IT yet."
INC-014,26/10/2024,,15-11-2024,Ongoing,High,Sev1,Business,"Settlement Team BR","Paulo A.","Business","Sprint-09","Integration",N,"BR",Y,"Core Banking","","Integration","Strategic","","","High","Liquidação atrasada para alguns parceiros, possibly same issue as last week."
